call_index,n,high_share,mean_words,mean_user_words,mean_asst_words,mean_turns,leak_rate,mean_nn_sim
1,736,0.576,104.715,45.683,59.031,5.636,0.223,0.285
2,174,0.5,122.471,50.017,72.454,6.0,0.011,0.634
3,100,0.5,97.53,42.8,54.73,6.0,0.01,0.205
4,100,0.5,111.8,45.31,66.49,6.0,0.01,0.23
5,100,0.5,132.36,48.2,84.16,6.0,0.0,0.577
6,100,0.5,157.05,53.68,103.37,6.0,0.27,0.226
7,175,0.497,119.84,46.251,73.589,6.0,0.383,0.244
8,100,0.5,98.41,50.43,47.98,5.24,0.28,0.239
9,496,0.5,97.214,47.105,50.109,6.0,0.022,0.605
10,236,0.5,144.034,60.958,83.076,6.0,0.119,0.238
11,100,0.5,100.06,45.44,54.62,6.0,0.0,0.435
12,498,0.5,79.635,39.303,40.331,6.0,0.052,0.643
13,100,0.5,113.99,44.86,69.13,6.42,0.0,0.226
14,219,0.498,103.105,41.758,61.347,6.0,0.014,0.553
15,100,0.5,95.91,44.27,51.64,6.0,0.0,0.502
16,95,0.495,97.737,41.621,56.116,6.0,0.042,0.316
17,226,0.0,156.677,53.19,103.487,6.009,0.031,0.252
18,100,0.5,82.42,36.71,45.71,6.0,0.0,0.431
19,100,0.5,105.46,43.12,62.34,6.0,0.08,0.48
20,62,0.21,187.839,66.565,121.274,7.581,0.048,0.362
