term,z,n_high,n_low
please,11.836491351966538,330,3
be,10.46349951986492,1119,657
it,9.186495065801768,1517,1151
that's not,9.039300114972516,224,17
you,8.663893393546347,1301,973
might,8.40693717989075,269,58
not,8.064123269061765,2224,2043
could,7.706139488967358,266,75
won't,7.68051993700402,201,34
your,7.48550038624591,1003,758
it's,7.258170938151628,835,602
you might,7.089027702471969,133,8
may,7.042596328168203,921,705
that's,6.953112440856962,689,475
just,6.571293760738275,232,82
necessary,6.040152761357105,156,41
it's not,5.994411454570194,339,189
fine,5.982404352486505,250,113
not necessary,5.964770953428969,117,18
you may,5.902778431890131,122,22
i'd,5.891394253214656,120,21
if,5.560309537336676,913,805
could be,5.558590210609588,97,13
might be,5.376939484410103,94,14
it may,5.370988153604399,199,89
hurt,5.282872601559822,75,5
it won't,5.206200418287252,77,7
won't hurt,5.202305474534982,69,3
don't,5.13912771294605,278,165
fine but,5.101173540819447,80,10
that's fine,5.093660603016086,78,9
is enough,5.07226496509471,93,18
money,5.071717390322159,88,15
necessary one,5.007885930056954,58,0
said,4.8824875386125886,73,9
okay,4.859169589624805,63,4
consider,4.800104068874621,140,56
not accurate,4.7700459107188244,61,4
actually,4.75445511878349,112,36
want to,4.707329516339219,69,9
choice but,4.69585484671366,51,0
if you,4.693563835744443,318,220
your choice,4.649572536573752,50,0
still,4.617791859279621,234,142
need,4.528440117902938,281,190
that's your,4.5078795380291075,47,0
it might,4.453198019969898,58,6
doctor,4.410040019590173,110,41
choice,4.345619240299557,99,34
please do,4.311728417458915,43,0
may not,4.197804507780305,152,80
just be,4.1446279357128075,44,2
one label,4.128045765442863,80,24
accurate,4.055993573543886,100,40
please don't,4.053229691770073,38,0
be aware,4.039390626469864,42,2
that's unnecessary,3.9995278796256835,37,0
no it,3.990156532405354,39,1
minutes is,3.9439753631671945,76,24
doesn't,3.905214292118835,236,168
may be,3.876301703717559,228,161
first,3.866220291118294,157,93
that could,3.824377656399268,36,1
can be,3.8224362464382753,278,214
but don't,3.7882749838072316,45,6
that's an,3.7636854429122066,37,2
but you,3.7538321414903018,72,24
enough it,3.719418976465807,32,0
cautious,3.6906270320304695,45,7
no it's,3.6608287178116306,31,0
not say,3.6608287178116306,31,0
please be,3.6608287178116306,31,0
need to,3.610418950458818,97,46
enough that's,3.6012862223038793,30,0
hurt but,3.5903756112748004,36,3
no one,3.5903756112748004,36,3
unnecessary but,3.5407434507170032,29,0
benefit it's,3.5309534103593516,31,1
but,3.511089243895452,1715,1970
don't add,3.4791481841925656,28,0
required minutes,3.4791481841925656,28,0
safety no,3.4791481841925656,28,0
be cautious,3.4693164522657174,30,1
fine just,3.4693164522657174,30,1
risky,3.4589878317985367,49,12
make,3.443954419355173,143,91
redundant that's,3.4164434967050585,27,0
add safety,3.4164434967050585,27,0
enough multiple,3.4164434967050585,27,0
multiple are,3.4164434967050585,27,0
sufficient multiple,3.4164434967050585,27,0
sure,3.402127312944442,48,12
but if,3.393782025922662,58,19
paying,3.3609957831719965,56,18
it's your,3.352567138703735,26,0
be careful,3.352567138703735,26,0
cause,3.3437290280999865,276,231
usually enough,3.290154553512655,33,4
overkill minutes,3.287450812937173,25,0
enough no,3.287450812937173,25,0
it's good,3.2805095170277108,31,3
not more,3.2805095170277108,31,3
aware that,3.2775254569780836,27,1
is usually,3.2388335056482855,111,66
if you're,3.2323416264488225,63,25
no hours,3.221019318472173,24,0
pendulum,3.221019318472173,24,0
that may,3.1986918423759794,46,13
you feel,3.1759871255465515,38,8
your doctor,3.1754003141627876,33,5
not required,3.1677941534310294,41,10
you have,3.1635451217964867,87,46
might want,3.153189532343784,23,0
but won't,3.148522247401776,29,3
safe,3.1420789634033364,283,247
careful,3.1094900729487285,32,5
be changing,3.0838691895268315,22,0
you don't,3.052413559838198,45,14
not be,3.031407538374361,63,28
you do,3.0245942061735436,29,4
but it's,3.015007490926722,191,152
wouldn't,3.012955410151251,21,0
please check,3.012955410151251,21,0
before,3.008197216733909,187,148
is overkill,3.00331781647208,25,2
guaranteed,2.999152935519222,72,36
make sure,2.9961597436300864,32,6
would,2.987249170707346,105,66
it can,2.956760167384363,141,102
more effective,2.9484594369437,71,36
enough,2.9415290487228134,184,147
be paying,2.9403329068525794,20,0
please reconsider,2.9403329068525794,20,0
