term,z,n_high,n_low
i'll,22.122983089873852,3308,1051
it,17.117459907355485,2388,887
said,16.081027800910626,1951,676
i'm,13.040415919687497,735,117
i'm going,12.926594537689617,482,5
going,12.881883548740317,511,18
going to,12.821303304605847,487,10
my,11.829654335754821,1879,954
will,10.637806650881586,645,163
right,10.464429941289033,491,84
you said,10.20254148504253,313,8
oh,10.031294034345416,283,0
i'll tell,9.910070281249487,294,7
tell my,9.875048696492582,282,3
oh so,9.595482565154457,259,0
no,9.269700705904095,454,103
she said,9.142491224951643,265,12
i'll do,8.802978898303504,303,37
that's what,8.787800782349755,235,7
do it,8.510461329341654,209,2
i'll just,8.437250217138454,218,7
trust,8.328164457055959,311,53
tell,8.269293718220553,327,63
i'll trust,8.267765377309244,249,24
that's,8.251583285070815,373,89
said i'll,8.23760646112405,191,0
i'll keep,8.14989413385938,252,28
buy,7.817248779416217,251,35
he,7.457798871630256,432,151
keep,7.407425149223339,327,87
said it,7.336629745593312,192,17
she,7.092056801877379,362,118
said it's,6.875048075538384,263,64
he said,6.540748588202357,309,101
knows,6.427657056262862,124,3
use it,6.3890907672991775,167,23
now,6.3624427043077345,166,23
every,6.361685791974222,449,203
true okay,6.302209514052293,117,2
all,6.280225128882448,424,188
i'll buy,6.252587278286201,132,9
it right,6.05908595941046,106,1
i'll use,5.975873157577821,270,92
already,5.933398794535046,114,6
doing,5.922062188481409,150,23
them,5.866272158207707,273,97
because you,5.864487257895418,102,2
it i'll,5.809573031508443,119,10
best i'll,5.776426285604272,94,0
so i'll,5.752553454154001,256,89
what she,5.745592681161548,93,0
right the,5.6338037200698565,92,1
to do,5.6201968390748025,99,4
my friend,5.6181074061021254,162,35
what he,5.441421805998185,86,1
family,5.40032080193115,108,11
so it,5.37767940226872,141,28
my family,5.339626779658233,95,6
okay so,5.308581505645731,263,106
use,5.301662533178827,504,289
knows best,5.2276625827549665,77,0
because,5.214996286436738,472,267
i'll start,5.208043135342196,79,1
okay,5.120199672888039,432,239
it no,5.089977032933109,73,0
best,5.0398251027407195,193,66
been,5.007039363823374,118,22
do that,4.874232956131487,144,39
start,4.851069389993555,117,24
safe i'll,4.841713628654941,85,8
it's,4.742756844434389,709,491
i've been,4.709776571305794,70,3
keep doing,4.706863141330323,65,1
since,4.672109926075698,69,3
it but,4.646510354702744,73,5
it every,4.614287930600638,60,0
all my,4.614287930600638,60,0
required i'll,4.592391001757044,62,1
put,4.54124776239196,95,17
bought,4.536690647893773,58,0
labels,4.504806138470575,94,17
right okay,4.4351906236217875,58,1
doing it,4.405044963596578,69,6
fine,4.363755212513699,133,42
buy it,4.3544735897736775,56,1
today,4.305048643707991,62,4
trust him,4.295514135556859,52,0
that right,4.2935305667976715,101,24
try it,4.2778054021179885,68,7
him,4.24793394457642,98,23
stop,4.21569624212141,119,36
with it,4.212060365952498,50,0
safe i'm,4.169708322933737,49,0
no the,4.126922441578599,48,0
means,4.109346496119947,127,43
doing that,4.10285783272317,50,1
it and,4.0808860447811215,81,16
cures,4.059432696877278,151,60
everything,4.022675069802183,85,19
do,4.0139819705287145,504,348
safe,3.971122390717351,316,189
be safe,3.955530636737269,56,5
day,3.9165692378475025,176,81
i'll put,3.9058723494361782,48,2
is required,3.9058723494361782,48,2
trust the,3.902864677128779,82,19
it must,3.860278566847374,42,0
exactly,3.842661361054827,107,35
to buy,3.8214294323694684,53,5
week,3.803359879002644,98,30
i'll take,3.798024837437614,48,3
to try,3.7883732880267815,43,1
everywhere,3.77574343405308,52,5
feel,3.770204296308915,77,18
said so,3.767768657682436,45,2
battery i'm,3.767212339957332,40,0
containers,3.7389094772914646,49,4
tonight,3.720617158917292,44,2
so i'm,3.720617158917292,44,2
been doing,3.70437908318326,46,3
to only,3.671791454374618,38,0
to drive,3.645355759087479,40,1
drive exactly,3.6231400566592,37,0
required,3.6121288040946897,75,19
away,3.5854388585128887,60,11
every time,3.5789350086378913,69,16
